,Date,Mining,Construction,Durable_goods,Non_durable_goods,Retail,Transportation,Information,Financial_activities,Professional_and_business_activities,Education_and_health,Leisure_and_hospitality
35,2018-01,686.0,6729.0,7798.0,4670.0,15718.6,5273.4,2772.0,8448.0,20328.0,23262.0,15437.0
34,2018-02,695.0,6840.0,7834.0,4687.0,15577.0,5260.4,2807.0,8476.0,20462.0,23620.0,15588.0
33,2018-03,704.0,6933.0,7870.0,4688.0,15610.8,5289.6,2814.0,8491.0,20566.0,23656.0,15818.0
32,2018-04,712.0,7129.0,7887.0,4693.0,15668.9,5301.5,2826.0,8502.0,20815.0,23698.0,16118.0
31,2018-05,722.0,7336.0,7915.0,4721.0,15772.6,5356.2,2832.0,8552.0,20914.0,23630.0,16524.0
30,2018-06,736.0,7497.0,8002.0,4772.0,15807.7,5392.0,2855.0,8646.0,21093.0,23416.0,17009.0
29,2018-07,740.0,7554.0,7987.0,4794.0,15804.0,5353.6,2861.0,8675.0,21086.0,23302.0,17107.0
28,2018-08,751.0,7586.0,8003.0,4798.0,15772.1,5392.7,2866.0,8674.0,21149.0,23405.0,17025.0
27,2018-09,746.0,7535.0,7989.0,4784.0,15606.6,5496.1,2833.0,8633.0,21115.0,23650.0,16462.0
26,2018-10,750.0,7557.0,8003.0,4768.0,15708.8,5554.9,2859.0,8658.0,21304.0,23963.0,16303.0
25,2018-11,741.0,7454.0,8019.0,4761.0,16191.0,5672.3,2877.0,8655.0,21338.0,24026.0,16068.0
24,2018-12,742.0,7311.0,8047.0,4767.0,16197.0,5774.3,2866.0,8674.0,21227.0,24022.0,16086.0
23,2019-01,733.0,7069.0,8023.0,4714.0,15628.1,5582.6,2799.0,8618.0,20709.0,23724.0,15739.0
22,2019-02,730.0,7062.0,8035.0,4727.0,15429.4,5521.1,2830.0,8633.0,20841.0,24044.0,15841.0
21,2019-03,731.0,7170.0,8039.0,4735.0,15425.8,5525.3,2838.0,8658.0,20908.0,24113.0,16090.0
20,2019-04,730.0,7378.0,8033.0,4736.0,15468.0,5538.3,2833.0,8680.0,21159.0,24202.0,16409.0
19,2019-05,734.0,7541.0,8042.0,4757.0,15528.0,5589.8,2845.0,8712.0,21219.0,24113.0,16793.0
18,2019-06,740.0,7700.0,8102.0,4803.0,15603.9,5632.8,2878.0,8790.0,21398.0,23928.0,17227.0
17,2019-07,737.0,7754.0,8072.0,4822.0,15608.1,5597.8,2888.0,8844.0,21414.0,23848.0,17299.0
16,2019-08,733.0,7761.0,8071.0,4828.0,15564.2,5607.0,2893.0,8846.0,21470.0,23960.0,17257.0
15,2019-09,725.0,7703.0,8034.0,4813.0,15449.8,5706.3,2867.0,8788.0,21418.0,24234.0,16775.0
14,2019-10,727.0,7721.0,7974.0,4802.0,15603.0,5754.8,2883.0,8819.0,21604.0,24534.0,16666.0
13,2019-11,711.0,7610.0,8023.0,4799.0,16028.0,5885.0,2909.0,8822.0,21645.0,24651.0,16459.0
12,2019-12,693.0,7450.0,8025.0,4797.0,16102.1,6037.4,2906.0,8839.0,21508.0,24599.0,16474.0
11,2020-01,678.0,7243.0,7967.0,4738.0,15508.4,5835.1,2868.0,8783.0,21036.0,24364.0,16117.0
10,2020-02,675.0,7278.0,7978.0,4749.0,15353.9,5745.9,2894.0,8820.0,21134.0,24668.0,16292.0
9,2020-03,669.0,7297.0,7949.0,4723.0,15286.8,5741.7,2888.0,8805.0,21050.0,24471.0,15745.0
8,2020-04,615.0,6452.0,7049.0,4320.0,13131.5,5168.3,2630.0,8555.0,19053.0,21880.0,8648.0
7,2020-05,602.0,7070.0,7195.0,4434.0,13600.0,5181.9,2585.0,8593.0,19238.0,22153.0,10303.0
6,2020-06,600.0,7359.0,7520.0,4549.0,14503.4,5304.4,2606.0,8675.0,19683.0,22491.0,12637.0
5,2020-07,599.0,7424.0,7523.0,4584.0,14748.0,5300.6,2606.0,8709.0,19856.0,22590.0,13364.0
4,2020-08,595.0,7460.0,7524.0,4609.0,14965.5,5380.1,2622.0,8730.0,20060.0,22782.0,13445.0
3,2020-09,597.0,7419.0,7532.0,4606.0,14891.9,5504.6,2652.0,8710.0,20115.0,23086.0,13446.0
2,2020-10,597.0,7506.0,7538.0,4620.0,15131.1,5622.5,2654.0,8751.0,20505.0,23427.0,13607.0
1,2020-11,599.0,7413.0,7570.0,4621.0,15487.9,5876.7,2659.0,8763.0,20580.0,23510.0,13418.0
0,2020-12,601.0,7305.0,7610.0,4641.0,15755.0,6014.0,2665.0,8788.0,20632.0,23401.0,12858.0